hr_fact_id,date,employee_key,department_key,job_key,location_key,salary,attrition_flag
1,2015-04-13,1,33,808,907,57256,1
2,2015-05-03,2,12,806,907,94237,0
3,2021-08-10,3,18,800,924,48926,0
4,2023-01-29,3,18,800,924,51372,0
5,2024-01-16,3,37,812,924,53818,0
6,2024-11-26,3,37,812,924,56264,0
7,2021-06-22,4,16,802,901,114673,0
8,2022-04-14,4,16,802,901,120406,0
9,2022-12-01,4,16,802,901,126140,0
10,2021-10-31,5,30,805,917,60087,0
11,2015-08-18,6,17,801,925,69347,0
12,2016-09-06,6,17,806,925,72814,0
13,2017-08-13,6,17,815,925,76281,0
14,2021-07-18,7,22,811,907,46131,0
15,2022-10-01,7,22,811,907,48437,0
16,2023-06-16,7,22,811,907,50744,0
17,2024-01-14,7,22,811,907,53050,0
18,2017-12-28,8,34,820,910,42621,0
19,2018-11-23,8,34,820,910,44752,0
20,2019-10-03,8,34,820,910,46883,0
21,2020-05-24,8,34,820,910,49014,0
22,2021-09-27,8,34,811,910,51145,0
23,2019-01-26,9,38,809,907,35592,0
24,2016-05-30,10,14,815,917,49643,0
25,2017-04-10,10,14,815,917,52125,0
26,2018-07-10,10,14,815,917,54607,0
27,2019-07-29,10,14,815,917,57089,0
28,2020-10-15,10,14,815,900,59571,0
29,2015-10-04,11,38,801,925,71309,0
30,2016-05-07,11,38,801,925,74874,0
31,2017-02-18,12,13,803,921,84498,0
32,2018-02-14,12,13,803,921,88722,0
33,2019-07-23,12,13,803,923,92947,0
34,2020-07-10,12,16,803,923,97172,0
35,2021-03-04,13,13,801,920,98855,0
36,2021-09-07,13,13,801,920,103797,0
37,2022-05-30,13,13,801,920,108740,0
38,2022-12-26,13,13,800,920,113683,0
39,2018-04-30,14,16,801,918,99066,0
40,2018-11-27,14,28,801,918,104019,0
41,2019-07-12,15,13,818,907,103880,0
42,2020-11-07,15,13,802,907,109074,0
43,2020-02-16,16,20,802,900,88068,0
44,2021-06-28,16,20,802,906,92471,0
45,2022-09-10,16,20,811,906,96874,0
46,2015-02-02,17,31,817,909,114951,0
47,2015-09-23,17,13,817,909,120698,0
48,2016-12-29,17,13,809,909,126446,0
49,2017-10-09,17,13,809,909,132193,0
50,2018-08-13,17,13,809,913,137941,0
51,2021-03-09,18,32,813,917,29267,0
52,2021-11-01,18,32,804,917,30730,0
53,2023-02-22,18,32,804,911,32193,0
54,2023-09-10,18,32,804,911,33657,1
55,2017-08-27,19,37,805,925,51206,0
56,2018-09-22,19,37,810,925,53766,0
57,2017-03-28,20,36,814,911,68001,0
58,2018-01-18,20,36,806,911,71401,1
59,2018-09-18,21,40,800,903,62237,0
60,2019-06-16,21,40,800,919,65348,0
61,2020-07-22,21,40,800,919,68460,0
62,2021-10-06,21,40,818,913,71572,0
63,2022-04-04,21,40,818,913,74684,0
64,2018-07-09,22,31,803,923,67363,0
65,2019-09-21,22,31,803,923,70731,0
66,2020-08-17,22,31,803,923,74099,0
67,2021-08-26,22,31,803,923,77467,0
68,2022-07-26,22,31,803,923,80835,0
69,2020-09-24,23,25,805,921,39114,0
70,2021-08-15,23,25,805,921,41069,0
71,2015-07-09,24,17,815,919,37545,0
72,2017-09-26,25,14,820,922,28726,0
73,2018-05-18,25,14,820,922,30162,0
74,2019-11-05,25,17,820,922,31598,0
75,2020-07-04,25,17,820,922,33034,0
76,2019-10-14,26,36,817,914,48861,0
77,2020-12-10,26,36,817,914,51304,0
78,2021-10-27,26,36,817,914,53747,0
79,2022-09-12,26,36,817,914,56190,0
80,2023-08-29,26,36,817,914,58633,0
81,2019-08-31,27,11,806,926,83069,0
82,2020-09-13,27,11,806,926,87222,0
83,2021-12-31,27,21,806,926,91375,0
84,2023-01-14,27,21,806,926,95529,0
85,2019-11-21,28,25,800,912,72057,0
86,2021-04-26,28,25,800,912,75659,0
87,2022-06-19,28,25,800,912,79262,0
88,2017-01-14,29,11,808,912,70906,0
89,2017-10-29,29,11,808,912,74451,0
90,2018-09-16,29,11,808,912,77996,0
91,2019-04-25,29,11,808,911,81541,0
92,2017-03-27,30,36,800,919,47973,0
93,2018-01-23,30,36,803,919,50371,0
94,2018-06-28,31,13,818,900,68888,0
95,2019-10-15,31,13,818,900,72332,0
