account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000001,University of Sheffield,1,Education,Public Sector,58 Mill Lane,Liverpool,Merseyside,L95 9DY,Customer,7178673,5,2020-03-02
ACC000002,Harrison Martin Ltd,2,Financial Services,SMB,24 Church Road,London,Greater London,EC30 1TW,Prospect,9986237,25,2024-07-15
ACC000003,Lee Turner Solutions,3,Hospitality,Enterprise,151 Park Lane,Cambridge,Cambridgeshire,CB1 7FZ,Prospect,1722631,25,2024-10-01
ACC000004,Edwards Johnson Solutions,4,Transport & Logistics,SMB,27 Station Road,Nottingham,Nottinghamshire,NG49 6DM,Partner,480373285,1000,2023-03-28
ACC000005,Williams Hill UK,5,Manufacturing,Enterprise,97 Station Road,Leeds,West Yorkshire,LS71 6KX,Prospect,346280485,1000,2020-11-29
ACC000006,Taylor Williams and Co,6,Hospitality,Enterprise,198 Park Lane,Liverpool,Merseyside,L11 7HD,Customer,253174062,2500,2021-07-06
ACC000007,Hill Patel Group,7,Professional Services,SMB,91 Church Road,Cardiff,Wales,CF86 2JZ,Customer,1210460,10,2023-03-07
ACC000008,Lee White Group,8,Retail,Enterprise,98 Park Lane,Cambridge,Cambridgeshire,CB82 4ZU,Partner,154680614,2500,2024-03-09
ACC000009,Brown Thompson Ltd,9,Construction,Enterprise,103 Park Lane,Nottingham,Nottinghamshire,NG9 6GV,Customer,2664251,10,2024-06-10
ACC000010,Morris Wood and Co,10,Technology,SMB,37 Park Lane,Cambridge,Cambridgeshire,CB18 9HU,Customer,370990466,5000,2024-03-17
ACC000011,Harrison Martin International,11,Manufacturing,Enterprise,93 Church Road,Belfast,Northern Ireland,BT18 2TS,Customer,8617485,5,2024-11-17
ACC000012,Evans Johnson and Co,12,Healthcare,Enterprise,175 Queens Road,Edinburgh,Scotland,EH77 7CN,Customer,5538436,50,2020-02-09
ACC000013,Clark Hughes UK,13,Charity,SMB,175 Innovation Drive,London,Greater London,EC15 5YU,Customer,73929643,10000,2022-08-31
ACC000014,Evans Green Services,14,Transport & Logistics,SMB,117 High Street,Edinburgh,Scotland,EH93 3JT,Customer,240203188,5000,2022-07-13
ACC000015,Wilson Hall and Co,15,Insurance,Enterprise,156 Church Road,Brighton,East Sussex,BN20 9MF,Customer,127912186,250,2020-03-05
ACC000016,Smith Morgan Associates,16,Recruitment,SMB,5 Station Road,Oxford,Oxfordshire,OX47 1KH,Prospect,4176817,50,2024-07-11
ACC000017,Baker Davies PLC,17,Manufacturing,SMB,18 Commerce Way,Oxford,Oxfordshire,OX69 8EE,Customer,37541181,2500,2024-01-31
ACC000018,Hughes Clark International,18,Retail,Enterprise,55 Technology Park,Reading,Berkshire,RG70 5ZG,Prospect,4291056,5,2022-06-26
ACC000019,Patel Networks Group,19,MSP,Partner,31 Church Road,Cambridge,Cambridgeshire,CB29 1CL,Partner,32803416,25,2024-11-05
ACC000020,Harrison Thompson Ltd,20,Technology,Enterprise,182 Business Park,Birmingham,West Midlands,B8 1HC,Partner,8264991,10,2021-01-23
ACC000021,Taylor Moore Solutions,21,Transport & Logistics,SMB,172 Kings Road,Sheffield,South Yorkshire,S28 8UE,Partner,260973885,5000,2024-10-12
ACC000022,Ward Turner Solutions,22,Manufacturing,SMB,25 Business Park,Leeds,West Yorkshire,LS56 7MP,Partner,4230808,100,2023-05-02
ACC000023,Brown Wilson Ltd,23,Charity,SMB,187 Victoria Road,Belfast,Northern Ireland,BT14 4HG,Customer,133143547,1000,2022-03-21
ACC000024,Cooper Thomas Services,24,Media & Entertainment,Enterprise,72 Kings Road,Edinburgh,Scotland,EH32 9CR,Customer,29665774,1000,2022-11-02
ACC000025,Brown Lee Ltd,25,Financial Services,Enterprise,193 Enterprise Road,Birmingham,West Midlands,B31 8FP,Customer,8974152,5,2023-09-29
