opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000001,1.0,ACC000030,Davies Turner and Co UCaaS Project,Closed Won,69133.46,100.0,2023-01-05,2022-07-04,Other,New Customer,15862
OPP00000002,2.0,ACC000994,Lee Jackson International - iPECS Cloud Deployment,Closed Won,63927.25,100.0,2023-02-24,2021-11-09,Phone Inquiry,Existing Customer - Upgrade,
OPP00000003,3.0,ACC000586,Phoneline+ Migration - College of Cambridge,Closed Won,78075.28,100.0,2024-10-04,2021-12-07,Phone Inquiry,New Customer,
OPP00000004,4.0,ACC000353,Enterprise Secure Payments PCI - Morris Communications Partners,Closed Won,20903.71,100.0,2022-06-23,2022-04-15,Web,Existing Customer - Replacement,24505
OPP00000005,5.0,ACC000796,Workforce Management Implementation - Thomas Telecom Ltd,Closed Won,165596.69,100.0,2023-12-29,2021-11-02,Partner Referral,Existing Customer - Replacement,
OPP00000006,6.0,ACC000335,University of Brighton Contact Centre Solution,Closed Won,31013.96,100.0,2024-02-13,2021-09-01,Other,Existing Customer - Downgrade,
OPP00000007,7.0,ACC000928,Cirrus Contact Centre - Walker Wright Ltd,Closed Won,133172.83,100.0,2024-04-13,2021-11-05,Web,Existing Customer - Upgrade,
OPP00000008,8.0,ACC000455,Baker King Associates Contact Centre Solution,Closed Won,216941.42,100.0,2023-03-13,2021-09-18,Purchased List,Existing Customer - Downgrade,
OPP00000009,9.0,ACC000978,Thomas Edwards Associates UCaaS Project,Closed Won,87643.3,100.0,2024-09-02,2024-04-21,Purchased List,Existing Customer - Replacement,22295
OPP00000010,10.0,ACC000214,Moore Lee Holdings Digital Transformation,Closed Won,52325.22,100.0,2022-10-16,2021-09-18,Phone Inquiry,Existing Customer - Replacement,
OPP00000011,11.0,ACC000398,Microsoft Teams Phone Implementation - Morgan Smith Solutions,Closed Won,21718.8,100.0,2022-08-16,2021-11-28,Partner Referral,New Customer,
OPP00000012,12.0,ACC000551,Amazon Connect Managed Expansion - Patel Brown and Co,Closed Won,44974.5,100.0,2022-03-25,2021-09-21,Web,Existing Customer - Upgrade,
OPP00000013,13.0,ACC000976,College of Liverpool Contact Centre Solution,Closed Won,169554.44,100.0,2025-06-07,2025-04-17,Phone Inquiry,Existing Customer - Upgrade,28589
OPP00000014,14.0,ACC000203,Lewis Clarke Services - Cloud Communications,Closed Won,163525.0,100.0,2025-06-19,2021-10-11,Phone Inquiry,Existing Customer - Replacement,
OPP00000015,15.0,ACC000622,iPECS Cloud Implementation - Morgan Lewis Partners,Closed Won,22344.31,100.0,2022-09-03,2022-04-28,Other,New Customer,31668
OPP00000016,16.0,ACC000411,Workforce Management - Davies Thomas International,Closed Won,43155.43,100.0,2022-03-21,2022-01-04,Purchased List,Existing Customer - Upgrade,8097
OPP00000017,17.0,ACC000531,Roberts Harris Solutions - Cloud Communications,Closed Won,90271.18,100.0,2023-05-05,2021-10-31,Other,New Customer,
OPP00000018,18.0,ACC000456,Moore Roberts Services Contact Centre Solution,Closed Won,90917.86,100.0,2022-01-29,2021-10-28,Partner Referral,Existing Customer - Replacement,
OPP00000019,19.0,ACC000584,Queen Elizabeth Hospital NHS Trust Digital Transformation,Closed Won,182956.24,100.0,2024-10-05,2021-10-12,Purchased List,Existing Customer - Downgrade,
OPP00000020,20.0,ACC000330,Hall Martin LLP Digital Transformation,Closed Won,77167.84,100.0,2024-12-20,2024-05-02,Purchased List,Existing Customer - Replacement,20335
OPP00000021,21.0,ACC000899,Robinson Hill International Contact Centre Solution,Closed Won,217164.74,100.0,2024-05-16,2021-11-04,Purchased List,Existing Customer - Replacement,
OPP00000022,22.0,ACC000535,Hughes Johnson PLC Contact Centre Solution,Closed Won,9416.36,100.0,2023-11-18,2021-07-29,Other,Existing Customer - Downgrade,
OPP00000023,23.0,ACC000538,Horizon Contact Centre - Clark Lee Partners,Closed Won,41826.96,100.0,2024-10-05,2021-07-31,Web,New Customer,
OPP00000024,24.0,ACC000763,Roberts Lee Ltd - Cloud Communications,Closed Won,16781.49,100.0,2024-03-04,2023-03-12,Partner Referral,Existing Customer - Replacement,31496
OPP00000025,25.0,ACC000373,Roberts Jackson Group Contact Centre Solution,Closed Won,140015.74,100.0,2024-01-11,2021-09-21,Web,Existing Customer - Downgrade,
OPP00000026,26.0,ACC000818,CX Analytics Suite Migration - Hill Thomas PLC,Closed Won,15873.82,100.0,2023-01-23,2021-12-03,Partner Referral,Existing Customer - Replacement,
OPP00000027,27.0,ACC000202,FUSION IoT - Brown Roberts Holdings,Closed Won,193447.29,100.0,2023-02-22,2023-01-13,Partner Referral,Existing Customer - Replacement,3162
OPP00000028,28.0,ACC000384,Enterprise Amazon Connect Managed - Martin Wright and Co,Closed Won,262061.08,100.0,2023-10-06,2021-10-02,Phone Inquiry,Existing Customer - Upgrade,
OPP00000029,29.0,ACC000550,CircleLoop - Roberts Williams LLP,Closed Won,174799.97,100.0,2023-06-01,2021-07-29,Phone Inquiry,New Customer,
